107/975 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r5c1-r5c2
108/975 infeasible 0.2s (3, 3) r2c2-r2c1-r3c1-r4c1-r5c1-r6c1
109/975 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r4c2-r4c3
110/975 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r4c2-r5c2
111/975 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r5c1-r5c2
112/975 infeasible 0.2s (3, 3) r2c2-r3c2-r3c1-r4c1-r5c1-r6c1
113/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c1-r5c1-r5c2
114/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c1-r5c1-r6c1
115/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c3-r5c3-r5c2
116/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r4c3-r5c3-r6c3
117/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c1-r4c1
118/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c1-r6c1
119/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c3-r4c3
120/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r5c3-r6c3
121/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r6c2-r6c1
122/975 infeasible 0.2s (2, 4) r2c2-r3c2-r4c2-r5c2-r6c2-r6c3
123/975 infeasible 0.3s (2, 4) r2c6-r1c6-r1c7-r1c8-r1c9-r2c9
124/975 infeasible 0.3s (2, 4) r2c6-r1c6-r1c7-r1c8-r2c8-r2c7
125/975 infeasible 0.2s (2, 4) r2c6-r1c6-r1c7-r1c8-r2c8-r2c9
126/975 infeasible 0.3s (2, 4) r2c6-r1c6-r1c7-r1c8-r2c8-r3c8
127/975 infeasible 0.3s (2, 4) r2c6-r1c6-r1c7-r2c7-r2c8-r2c9
128/975 infeasible 0.3s (2, 4) r2c6-r1c6-r1c7-r2c7-r2c8-r3c8
129/975 infeasible 0.3s (2, 4) r2c6-r1c6-r1c7-r2c7-r3c7-r3c8
130/975 infeasible 0.3s (1, 4, 1) r2c6-r2c7-r2c8-r3c8-r3c7-r3c6
131/975 infeasible 0.3s (2, 4) r2c6-r3c6-r3c7-r2c7-r2c8-r2c9
132/975 infeasible 0.2s (2, 4) r2c6-r3c6-r3c7-r2c7-r2c8-r3c8
133/975 infeasible 0.2s (2, 4) r2c6-r3c6-r3c7-r3c8-r2c8-r2c7
134/975 infeasible 0.3s (2, 4) r2c6-r3c6-r3c7-r3c8-r2c8-r2c9
135/975 infeasible 0.2s (2, 4) r2c6-r3c6-r3c7-r3c8-r3c9-r2c9
136/975 infeasible 0.3s (3, 3) r2c8-r1c8-r1c7-r1c6-r2c6-r3c6
137/975 infeasible 0.2s (4, 2) r2c8-r1c8-r1c7-r2c7-r2c6-r3c6
138/975 infeasible 0.3s (3, 3) r2c8-r2c7-r1c7-r1c6-r2c6-r3c6
139/975 infeasible 0.2s (4, 2) r2c8-r3c8-r3c7-r2c7-r2c6-r3c6
