170/1021 infeasible 0.2s (2, 4) r3c2-r3c1-r4c1-r4c2-r5c2-r5c3
171/1021 infeasible 0.2s (2, 4) r3c2-r3c1-r4c1-r4c2-r5c2-r6c2
172/1021 infeasible 0.2s (2, 4) r3c2-r3c1-r4c1-r5c1-r5c2-r4c2
173/1021 infeasible 0.2s (2, 4) r3c2-r3c1-r4c1-r5c1-r5c2-r5c3
174/1021 infeasible 0.2s (2, 4) r3c2-r3c1-r4c1-r5c1-r5c2-r6c2
175/1021 infeasible 0.2s (2, 4) r3c2-r3c1-r4c1-r5c1-r6c1-r6c2
176/1021 infeasible 0.2s (2, 4) r3c2-r3c3-r4c3-r4c2-r4c1-r5c1
177/1021 infeasible 0.2s (2, 4) r3c2-r3c3-r4c3-r4c2-r5c2-r5c1
178/1021 infeasible 0.2s (2, 4) r3c2-r3c3-r4c3-r4c2-r5c2-r5c3
179/1021 infeasible 0.2s (2, 4) r3c2-r3c3-r4c3-r4c2-r5c2-r6c2
180/1021 infeasible 0.2s (2, 4) r3c2-r3c3-r4c3-r5c3-r5c2-r4c2
181/1021 infeasible 0.2s (2, 4) r3c2-r3c3-r4c3-r5c3-r5c2-r5c1
182/1021 infeasible 0.2s (2, 4) r3c2-r3c3-r4c3-r5c3-r5c2-r6c2
183/1021 infeasible 0.2s (2, 4) r3c2-r3c3-r4c3-r5c3-r6c3-r6c2
184/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r4c1-r5c1-r6c1-r7c1
185/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r4c3-r5c3-r6c3-r6c4
186/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r4c3-r5c3-r6c3-r7c3
187/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r5c2-r5c1-r6c1-r7c1
188/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r5c2-r5c3-r4c3-r3c3
189/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r5c2-r5c3-r6c3-r6c4
190/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r5c2-r5c3-r6c3-r7c3
191/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r5c2-r6c2-r6c1-r7c1
192/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r5c2-r6c2-r6c3-r6c4
193/1021 infeasible 0.2s (1, 4, 1) r3c2-r4c2-r5c2-r6c2-r6c3-r7c3
194/1021 infeasible 0.2s (3, 3) r3c3-r3c2-r3c1-r4c1-r4c2-r4c3
195/1021 infeasible 0.2s (3, 3) r3c3-r3c2-r3c1-r4c1-r4c2-r5c2
